timestamp,value
2025-05-16 09:15:00.001103,107970.0
2025-05-16 09:15:02.209324,107970.0
2025-05-16 09:15:04.323271,107970.0
2025-05-16 09:15:06.459780,104915.0
2025-05-16 09:15:08.580322,109460.0
2025-05-16 09:15:10.712029,108305.0
2025-05-16 09:15:12.832903,104230.0
2025-05-16 09:15:14.954713,105440.0
2025-05-16 09:15:17.070329,106970.0
2025-05-16 09:15:19.196634,107635.0
2025-05-16 09:15:21.308029,105815.0
2025-05-16 09:15:28.312404,105185.0
2025-05-16 09:15:30.428413,105310.0
2025-05-16 09:15:32.555862,106720.0
2025-05-16 09:15:34.672474,106800
2025-05-16 09:15:36.801043,107130.0
2025-05-16 09:15:38.931347,106695.0
2025-05-16 09:15:41.051185,106880.0
2025-05-16 09:15:43.176551,106740.0
2025-05-16 09:15:45.306474,106080.0
2025-05-16 09:15:47.432974,106735.0
2025-05-16 09:15:49.539208,106755.0
2025-05-16 09:15:51.650034,106990.0
2025-05-16 09:15:53.766785,106905.0
2025-05-16 09:15:55.875055,107165.0
2025-05-16 09:15:57.995526,107035.0
2025-05-16 09:16:00.109340,106650.0
2025-05-16 09:16:02.258269,107350.0
2025-05-16 09:16:04.372703,106530.0
2025-05-16 09:16:06.503433,105840.0
2025-05-16 09:16:08.637572,106900.0
2025-05-16 09:16:10.752128,106500.0
2025-05-16 09:16:12.868860,106720.0
2025-05-16 09:16:14.988178,107390.0
2025-05-16 09:16:17.113435,106915.0
2025-05-16 09:16:19.242735,105615.0
2025-05-16 09:16:21.354767,107025.0
2025-05-16 09:16:23.465935,106345.0
2025-05-16 09:16:25.585143,106425.0
2025-05-16 09:16:27.697573,105850.0
2025-05-16 09:16:29.815816,106460.0
2025-05-16 09:16:31.940302,106765.0
2025-05-16 09:16:34.066844,107395.0
2025-05-16 09:16:36.190746,107365.0
2025-05-16 09:16:38.320237,107230.0
2025-05-16 09:16:40.433792,107450.0
2025-05-16 09:16:42.611370,108205.0
2025-05-16 09:16:44.736090,107960.0
2025-05-16 09:16:46.848117,107800.0
2025-05-16 09:16:48.959259,107490.0
2025-05-16 09:16:51.084237,107735.0
2025-05-16 09:16:53.193829,107835.0
2025-05-16 09:16:55.311030,107855.0
2025-05-16 09:16:57.429723,108310.0
2025-05-16 09:16:59.540283,108520.0
2025-05-16 09:17:01.663960,108640.0
2025-05-16 09:17:03.782987,108670.0
2025-05-16 09:17:05.919443,105740.0
2025-05-16 09:17:08.069932,107405.0
2025-05-16 09:17:10.205456,107590.0
2025-05-16 09:17:12.321507,107860.0
2025-05-16 09:17:14.446695,107665.0
2025-05-16 09:17:16.573982,107600.0
2025-05-16 09:17:18.688182,107050.0
2025-05-16 09:17:20.817343,107340.0
2025-05-16 09:17:22.928289,108110.0
2025-05-16 09:17:25.322218,109105.0
2025-05-16 09:17:27.460652,107000.0
2025-05-16 09:17:29.588189,108660.0
2025-05-16 09:17:31.712169,108935.0
2025-05-16 09:17:33.823255,109000.0
2025-05-16 09:17:35.948024,109120.0
2025-05-16 09:17:38.057769,108840.0
2025-05-16 09:17:40.187758,109010.0
