event_id,threshold_abs_z,entry_time,side,entry_z,entry_abs_z,settled,settle_time,exit_time,exit_reason,bars_to_settle,bars_to_exit,approx_trading_days_to_exit,entry_nifty_close,entry_sensex_close,exit_nifty_close,exit_sensex_close,max_loss_abs_rupees,max_loss_rupees,max_loss_time,max_profit_rupees,max_profit_time,max_abs_z_during_wait,max_abs_z_time,directional_worst_z_during_wait,directional_worst_z_time,gross_exit_pnl_rupees,cost_rupees,net_exit_pnl_rupees,nifty_points_at_exit,sensex_points_at_exit,nifty_qty,sensex_qty,entry_date,entry_trading_date,exit_z,exit_abs_z,calendar_minutes_to_exit
11,5.0,2022-07-28 09:15:00,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,7.899624503220311,7.899624503220311,True,2022-07-28 14:41:00,2022-07-28 14:41:00,SETTLED,326,326,0.8693333333333333,16779.1,56318.91,16886.85,56726.2,7825.249999999229,-7825.249999999229,2022-07-28 14:15:00,91.75000000041109,2022-07-28 09:17:00,7.899624503220311,2022-07-28 09:15:00,7.899624503220311,2022-07-28 09:15:00,-5710.24999999936,0.0,-5710.24999999936,107.75,407.2899999999936,325,100,2022-07-28,2022-07-28,0.38739370185740396,0.38739370185740396,326.0
12,5.0,2022-08-11 09:16:00,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,5.9604721095149635,5.9604721095149635,True,2022-08-11 12:29:00,2022-08-11 12:29:00,SETTLED,193,193,0.5146666666666667,17700.55,59431.4,17682.75,59392.69,3735.2500000001783,-3735.2500000001783,2022-08-11 12:25:00,1313.0000000004657,2022-08-11 09:17:00,5.9604721095149635,2022-08-11 09:16:00,5.9604721095149635,2022-08-11 09:16:00,-1913.9999999998508,0.0,-1913.9999999998508,-17.799999999999272,-38.70999999999913,325,100,2022-08-11,2022-08-11,0.49450071587886285,0.49450071587886285,193.0
13,5.0,2022-08-12 09:24:00,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,-5.402749038589414,5.402749038589414,True,2022-08-12 09:45:00,2022-08-12 09:45:00,SETTLED,21,21,0.056,17620.45,59174.4,17643.1,59275.21,0.0,0.0,2022-08-12 09:24:00,2719.7500000004766,2022-08-12 09:45:00,5.402749038589414,2022-08-12 09:24:00,-5.402749038589414,2022-08-12 09:24:00,2719.7500000004766,0.0,2719.7500000004766,22.649999999997817,100.80999999999767,325,100,2022-08-12,2022-08-12,-0.450431136142527,0.450431136142527,21.0
14,5.0,2022-08-16 09:15:00,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,7.4755627585649,7.4755627585649,True,2022-08-16 10:38:00,2022-08-16 10:38:00,SETTLED,83,83,0.22133333333333333,17787.45,59798.14,17819.55,59859.67,1641.0000000003492,-1641.0000000003492,2022-08-16 09:22:00,4279.4999999996435,2022-08-16 10:38:00,7.4755627585649,2022-08-16 09:15:00,7.4755627585649,2022-08-16 09:15:00,4279.4999999996435,0.0,4279.4999999996435,32.099999999998545,61.529999999998836,325,100,2022-08-16,2022-08-16,0.3869407780155795,0.3869407780155795,83.0
15,5.0,2022-08-23 09:18:00,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,-6.356913546649335,6.356913546649335,True,2022-08-23 10:01:00,2022-08-23 10:01:00,SETTLED,43,43,0.11466666666666667,17403.85,58445.21,17574.9,59022.46,1288.0000000007385,-1288.0000000007385,2022-08-23 09:20:00,2133.749999999054,2022-08-23 10:01:00,6.356913546649335,2022-08-23 09:18:00,-6.356913546649335,2022-08-23 09:18:00,2133.749999999054,0.0,2133.749999999054,171.0500000000029,577.25,325,100,2022-08-23,2022-08-23,-0.4995286753262734,0.4995286753262734,43.0
16,5.0,2022-08-25 14:56:00,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,-5.081249118212802,5.081249118212802,True,2022-08-26 09:31:00,2022-08-26 09:31:00,SETTLED,50,50,0.13333333333333333,17577.15,58956.21,17668.2,59280.41,744.499999999789,-744.499999999789,2022-08-25 15:24:00,2828.750000000673,2022-08-26 09:31:00,5.081249118212802,2022-08-25 14:56:00,-5.081249118212802,2022-08-25 14:56:00,2828.750000000673,0.0,2828.750000000673,91.04999999999927,324.20000000000437,325,100,2022-08-25,2022-08-25,-0.2668470025977311,0.2668470025977311,1115.0
17,5.0,2022-08-29 09:15:00,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,-8.668341486632112,8.668341486632112,True,2022-08-29 11:42:00,2022-08-29 11:42:00,SETTLED,147,147,0.392,17212.9,57673.81,17334.6,58072.59,2542.7499999996144,-2542.7499999996144,2022-08-29 09:35:00,2701.000000000291,2022-08-29 10:04:00,8.668341486632112,2022-08-29 09:15:00,-8.668341486632112,2022-08-29 09:15:00,325.50000000082946,0.0,325.50000000082946,121.69999999999709,398.77999999999884,325,100,2022-08-29,2022-08-29,-0.4954124424509936,0.4954124424509936,147.0
18,5.0,2022-09-07 09:15:00,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,-5.8082359427120815,5.8082359427120815,True,2022-09-07 11:29:00,2022-09-07 11:29:00,SETTLED,134,134,0.35733333333333334,17544.8,58813.47,17554.5,58855.05,4190.500000000702,-4190.500000000702,2022-09-07 09:22:00,1005.4999999999382,2022-09-07 11:29:00,6.935153985308319,2022-09-07 09:16:00,-6.935153985308319,2022-09-07 09:16:00,1005.4999999999382,0.0,1005.4999999999382,9.700000000000728,41.580000000001746,325,100,2022-09-07,2022-09-07,-0.2919672208077814,0.2919672208077814,134.0
19,5.0,2022-09-14 09:15:00,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,-10.24433494080327,10.24433494080327,True,2022-09-14 11:06:00,2022-09-14 11:06:00,SETTLED,111,111,0.296,17862.5,59838.7,17948.5,60153.17,1389.2500000002656,-1389.2500000002656,2022-09-14 09:19:00,3513.249999999789,2022-09-14 10:38:00,10.24433494080327,2022-09-14 09:15:00,-10.24433494080327,2022-09-14 09:15:00,3497.0000000001164,0.0,3497.0000000001164,86.0,314.47000000000116,325,100,2022-09-14,2022-09-14,-0.3252669658834021,0.3252669658834021,111.0
20,5.0,2022-09-16 09:16:00,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,-6.204565835109878,6.204565835109878,True,2022-09-16 11:03:00,2022-09-16 11:03:00,SETTLED,107,107,0.2853333333333333,17740.45,59465.84,17707.45,59385.04,1451.2499999998,-1451.2499999998,2022-09-16 09:38:00,2645.0000000004366,2022-09-16 11:03:00,6.204565835109878,2022-09-16 09:16:00,-6.204565835109878,2022-09-16 09:16:00,2645.0000000004366,0.0,2645.0000000004366,-33.0,-80.79999999999563,325,100,2022-09-16,2022-09-16,-0.41612587701012693,0.41612587701012693,107.0
