watch_event_id,threshold_abs_z,watch_time,watch_date,watch_trading_date,watch_z,watch_abs_z,watch_side_if_entered,entered,skip_reason,entry_time,entry_z,entry_abs_z,entry_delay_bars,extreme_time_before_entry,extreme_z_before_entry,extreme_abs_z_before_entry,scan_end_time,reversal_confirm_bars_required,reversal_delta_z_required,enable_entry_time_filter,entry_start_time,last_entry_time
18,3.0,2022-06-27 09:41:00,2022-06-27,2022-06-27,3.3864750831796573,3.3864750831796573,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,True,,2022-06-27 09:55:00,2.2356312194213133,2.2356312194213133,14.0,2022-06-27 09:41:00,3.3864750831796573,3.3864750831796573,2022-06-27 09:55:00,2,0.25,True,09:30,15:15
19,3.0,2022-06-28 09:48:00,2022-06-28,2022-06-28,-3.0756832756782777,3.0756832756782777,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,True,,2022-06-28 10:00:00,-1.7751642189368533,1.7751642189368533,12.0,2022-06-28 09:57:00,-3.2353715596875507,3.2353715596875507,2022-06-28 10:00:00,2,0.25,True,09:30,15:15
20,3.0,2022-06-29 09:16:00,2022-06-29,2022-06-29,-3.1048403431162885,3.1048403431162885,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-06-29 09:18:00,-3.754559939889796,3.754559939889796,2022-06-29 09:22:00,2,0.25,True,09:30,15:15
21,3.0,2022-07-01 09:26:00,2022-07-01,2022-07-01,-3.07281760769911,3.07281760769911,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,True,,2022-07-01 09:33:00,-2.7362327904886286,2.7362327904886286,7.0,2022-07-01 09:28:00,-3.8129382665601583,3.8129382665601583,2022-07-01 09:33:00,2,0.25,True,09:30,15:15
22,3.0,2022-07-04 09:25:00,2022-07-04,2022-07-04,3.148142432205767,3.148142432205767,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-07-04 09:25:00,3.148142432205767,3.148142432205767,2022-07-04 09:27:00,2,0.25,True,09:30,15:15
23,3.0,2022-07-05 09:59:00,2022-07-05,2022-07-05,3.1313900136888506,3.1313900136888506,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,True,,2022-07-05 10:04:00,2.3476552967834374,2.3476552967834374,5.0,2022-07-05 10:00:00,3.2684435388796045,3.2684435388796045,2022-07-05 10:04:00,2,0.25,True,09:30,15:15
24,3.0,2022-07-05 15:06:00,2022-07-05,2022-07-05,-3.380778713884336,3.380778713884336,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,True,,2022-07-05 15:10:00,-1.6926326198049013,1.6926326198049013,4.0,2022-07-05 15:06:00,-3.380778713884336,3.380778713884336,2022-07-05 15:10:00,2,0.25,True,09:30,15:15
25,3.0,2022-07-07 09:15:00,2022-07-07,2022-07-07,4.636871442692498,4.636871442692498,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-07-07 09:15:00,4.636871442692498,4.636871442692498,2022-07-07 09:20:00,2,0.25,True,09:30,15:15
26,3.0,2022-07-07 14:56:00,2022-07-07,2022-07-07,-3.5264483769549293,3.5264483769549293,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,True,,2022-07-07 14:58:00,-2.5827375143331897,2.5827375143331897,2.0,2022-07-07 14:56:00,-3.5264483769549293,3.5264483769549293,2022-07-07 14:58:00,2,0.25,True,09:30,15:15
27,3.0,2022-07-11 09:16:00,2022-07-11,2022-07-11,-3.906183157981204,3.906183157981204,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-07-11 09:22:00,-5.371745195462892,5.371745195462892,2022-07-11 09:24:00,2,0.25,True,09:30,15:15
